"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,12.59,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,35.93,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,86.37,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,10.63,0.5,l,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.69,1.0,l,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,22.03,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,13.52,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Mrkev,117106,16.22,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Papriky,117103,60.55,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,41.16,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,30.52,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.65,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Pomeranče,116101,29.68,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,93.05,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Máslo,115101,162.97,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,30.93,10.0,ks,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,150.61,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,8.5,150.0,g,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,20.7,1.0,l,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,129.43,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,71.77,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,116.37,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,204.95,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,42.54,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,40.54,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,23.0,1.0,kg,2014
